Views,DownVotes,UpVotes,Reputation,DaysSinceCreation,DaysSinceAccess
0,0,0,1.0,247,233
5,0,0,16.0,247,116
1,0,0,11.0,247,240
0,0,1,101.0,247,247
3,0,0,11.0,247,239
3,0,0,1.0,247,247
0,0,0,1.0,247,149
1,0,0,1.0,247,236
0,0,0,101.0,247,128
0,0,0,3.0,247,212
0,0,0,1.0,850,850
4,0,0,17.0,850,212
0,0,0,18.0,850,849
1,0,0,8.0,850,849
360,37,146,4074.0,850,111
0,0,0,1.0,850,850
1,0,0,16.0,850,834
37,0,19,318.0,850,406
0,0,0,1.0,850,850
0,0,0,1.0,850,826
2,0,1,108.0,152,152
17,0,14,154.0,1781,249
30,0,3,101.0,1781,783
60,2,23,175.0,1781,1103
18,0,0,38.0,1781,1737
7,0,0,11.0,1781,1325
1,0,0,101.0,1781,353
1,0,2,101.0,287,204
2,0,0,21.0,287,257
0,0,0,1.0,218,218
23,0,5,43.0,380,237
4,0,0,54.0,678,678
2,0,0,1.0,287,234
0,0,0,1.0,287,286
4,0,0,11.0,287,264
1,0,1,106.0,287,277
0,0,0,1.0,197,190
0,0,0,1.0,287,287
0,0,0,1.0,380,150
54,0,0,66.0,799,298
2,0,0,19.0,925,925
28,0,0,242.0,799,267
5,0,0,18.0,799,798
0,0,8,101.0,799,626
0,0,0,101.0,799,799
0,0,0,3.0,799,795
15,0,5,296.0,799,151
7,0,6,126.0,799,131
0,0,0,1.0,188,116
6,0,2,151.0,1641,614
2,0,0,1.0,188,165
10,0,0,131.0,1956,1956
213,5,87,1297.0,1956,256
173,2,33,608.0,1956,133
76,9,42,773.0,1956,113
18945,55,169,81673.0,1956,111
135,0,18,1171.0,1956,211
57,0,6,198.0,1956,1494
27,1,7,527.0,1956,573
9,0,0,103.0,1956,508
329,2,212,674.0,1956,113
6,0,0,13.0,1531,1531
14,0,1,108.0,1531,289
1,0,3,101.0,1531,607
6,0,0,108.0,1531,442
5,0,4,101.0,1531,396
3,0,2,101.0,860,308
13,0,0,9.0,860,857
1,0,0,6.0,860,545
4,0,0,101.0,860,198
65,0,37,657.0,859,112
3,0,0,1.0,859,151
11,0,0,101.0,860,430
124,0,15,176.0,859,194
2,0,0,41.0,925,925
2,0,1,101.0,1169,136
5,0,0,11.0,695,112
1,0,0,11.0,695,695
0,0,0,101.0,696,696
0,0,0,1.0,696,269
0,0,1,101.0,695,359
0,0,0,1.0,696,674
9,0,0,16.0,696,681
5,0,3,101.0,696,162
0,0,0,1.0,197,197
25,0,7,161.0,1169,614
0,0,0,101.0,218,214
0,0,0,101.0,218,218
0,0,0,1.0,218,174
0,0,0,1.0,218,213
3,0,1,201.0,218,113
0,0,1,101.0,918,272
3,0,0,1.0,218,200
0,0,0,1.0,218,200
0,0,0,1.0,218,218
0,0,0,1.0,218,218
2,0,0,8.0,446,234
15,0,5,32.0,446,203
1,0,0,1.0,446,446
66,0,9,39.0,1114,235
8,0,1,123.0,1114,663
5,0,0,10.0,446,435
2,0,0,6.0,446,123
152,0,28,129.0,1114,602
5,0,1,118.0,1114,1103
0,0,0,1.0,1114,1114
8,0,0,16.0,1114,1086
0,0,0,31.0,1114,1114
5,0,2,133.0,1114,113
6,0,0,13.0,1114,810
4,0,1,106.0,1114,492
0,0,1,121.0,197,121
68,5,39,1526.0,779,116
24,0,0,31.0,779,601
8,0,11,129.0,1160,358
0,0,0,6.0,160,158
3,0,0,1.0,160,144
4,0,0,11.0,779,217
0,0,0,1.0,160,160
1,0,0,8.0,160,158
1,0,0,16.0,160,158
0,0,0,1.0,160,117
0,0,0,1.0,160,159
0,0,0,1.0,160,159
0,0,0,1.0,160,160
2,0,2,20.0,160,111
1,0,0,1.0,487,487
0,0,0,101.0,487,116
0,0,0,1.0,380,380
14,0,7,96.0,487,227
27,0,3,332.0,487,111
0,0,0,1.0,487,367
13,0,4,103.0,487,136
6,0,3,103.0,487,134
1,0,1,101.0,1122,241
4,0,1,101.0,1122,1011
0,0,0,101.0,526,325
4,0,3,103.0,526,460
23,0,6,42.0,526,207
8,0,3,101.0,1122,360
0,0,0,11.0,526,526
2,0,0,1.0,526,525
5,0,0,76.0,526,113
1,0,0,8.0,1122,410
3,0,0,6.0,769,760
0,0,0,1.0,904,483
76,0,25,382.0,1023,200
31,0,0,103.0,904,180
0,0,0,1.0,380,361
